f1_macro,balanced_acc,roc,model
0.5394481266685077,0.5746527777777778,0.7438650947083486,LogisticRegression
0.5628420628420628,0.6062184343434344,0.763759682410476,LogisticRegression
0.5554525258379214,0.5705056068862039,0.7358776196008164,LogisticRegression
0.5342682356766865,0.5771662520729685,0.7258562533416334,LogisticRegression
0.4762669317124763,0.5113636363636364,0.6585721127895574,LogisticRegression
0.6901964952415658,0.7181186868686869,0.8589283089779121,KNN
0.6818181818181818,0.6860795454545454,0.8364085484621199,KNN
0.6500718390804598,0.6787293690278764,0.8282755328564295,KNN
0.690257189774543,0.6922554884308615,0.8074097550705738,KNN
0.635508498244001,0.6376262626262625,0.7820479160593131,KNN
0.5193152410397343,0.5595012626262627,0.7236794088480596,SVM
0.5264514754447641,0.5542929292929293,0.7446494587863636,SVM
0.555110857902483,0.5701897259733081,0.7342724238435739,SVM
0.5321969438181777,0.5824572573639738,0.7283630779732144,SVM
0.44686091686091683,0.48002344877344877,0.6690095371111793,SVM
0.6690311438342934,0.6919191919191919,0.8121062937283176,DecisionTree
0.6440917107583775,0.6447285353535354,0.8090348235685537,DecisionTree
0.6587301587301587,0.6721896470030798,0.8073441214766751,DecisionTree
0.6348374842998499,0.6420378267393193,0.78682786782202,DecisionTree
0.6642163504968384,0.6635101010101009,0.7728535604089359,DecisionTree
0.6844055857913952,0.7127525252525252,0.8619933087194991,XGBoost
0.7066330754855344,0.7171717171717171,0.8391340783701895,XGBoost
0.6880078019908528,0.7192978559583038,0.8344757870099001,XGBoost
0.6485457746478873,0.6614422925057254,0.8377848308647529,XGBoost
0.6116848775133463,0.6171837421837422,0.7857934802131927,XGBoost
0.7359856630824373,0.7591540404040403,0.8763792791570568,RandomFores
0.690790343915344,0.7018623737373737,0.8395873306587592,RandomFores
0.6803875968992248,0.6970504619758352,0.8287536231006016,RandomFores
0.676002181702029,0.6821398957592987,0.8238228741152718,RandomFores
0.6452611612306268,0.6485239297739298,0.8063964904936866,RandomFores
0.5564066384465498,0.5785984848484849,0.7712519825119031,NeuralNetwork
0.6482662623790905,0.6609848484848485,0.7610184256513621,NeuralNetwork
0.6318252998190138,0.6503938640132669,0.782777593498841,NeuralNetwork
0.628187134502924,0.6514772368317144,0.7788185751148714,NeuralNetwork
0.5208579299488391,0.534541847041847,0.6936532122903367,NeuralNetwork
0.6261921230795028,0.6613005050505051,0.8465076296425502,Voting
0.7072124756335283,0.7550505050505051,0.8741784890594414,Voting
0.7540803224934801,0.7632575757575758,0.8852671101679037,Voting
0.6466112707320462,0.6824494949494949,0.8030839971316162,Voting
0.6366971559954017,0.6720328282828283,0.8165535302440065,Voting
0.720163087337855,0.7222222222222222,0.8575119839008727,Voting
0.6666708150803133,0.680871212121212,0.844549586216253,Voting
0.6498973959024736,0.6646505376344086,0.8388660564547089,Voting
0.6175707694226212,0.6314437065148639,0.8025200541512598,Voting
0.6488901289682539,0.6576449983708049,0.7892943646873644,Voting
