Tipo_de_Ca,X,Y,Uso_del_Su,pH_seco,Cond_Seco,T_Seco,STD_seco,Sal_seco,CE,SAL
Aljibe,1138116.0,1757683.0,Ganadería,7.19,3270.0,30.9,1603.727317,1.7985,3270.0,1.7985
Pozo,1138263.0,1757806.0,Ganadería,7.55,2929.0,31.7,1436.488475,1.61095,2929.0,1.611
Aljibe,1137681.0,1754338.0,Ganadería,6.69,3370.0,31.6,1652.770966,1.8535,3370.0,1.8535
Aljibe,1137753.0,1751103.0,Ganadería,7.53,3390.0,31.1,1662.579696,1.8645,3390.0,1.8645
Aljibe,1136745.0,1749999.0,Ganadería,7.66,12850.0,28.6,6302.108877,7.0675,12850.0,7.0675
Aljibe,1138350.0,1752747.0,Ganadería,7.66,1472.0,30.8,721.922511,0.8096,1472.0,0.8096
Pozo,1137798.0,1753024.0,Ganadería,7.56,2736.0,34.9,1341.834232,1.5048,2736.0,1.5048
Aljibe,1139078.0,1754419.0,Ganadería,7.72,1600.0,30.5,784.698382,0.88,1600.0,0.88
Pozo,1140279.0,1752866.0,Ganadería,7.83,2093.0,36.1,1026.48357,1.15115,2093.0,1.1511
Aljibe,1139511.0,1755993.0,Ganadería,7.58,8080.0,30.3,3962.726827,4.444,8080.0,4.444
Aljibe,1138254.0,1760545.0,Ganadería,7.26,2326.0,30.6,1140.755272,1.2793,2326.0,1.2793
Pozo,1135674.0,1763465.0,Ganadería,7.3,501.0,31.4,245.708681,0.27555,501.0,0.2756
Pozo,1136811.0,1762300.0,Ganadería,7.58,2445.0,31.7,1199.117214,1.34475,2445.0,1.3447
Aljibe,1138335.0,1762228.0,Ganadería,7.24,737.0,30.6,361.451692,0.40535,737.0,0.4053
Aljibe,1138420.0,1761105.0,Ganadería,7.31,1148.0,31.2,563.021089,0.6314,1148.0,0.6314
Aljibe,1139208.0,1763518.0,Ganadería,7.7,753.0,32.7,369.298676,0.41415,753.0,0.4142
Aljibe,1138741.0,1763888.0,Ganadería,8.72,819.0,31.3,401.667484,0.45045,819.0,0.4505
Aljibe,1138410.0,1764289.0,Ganadería,8.15,1076.0,30.9,527.709662,0.5918,1076.0,0.5918
Pozo,1141560.0,1759314.0,Ganadería,7.28,1551.0,32.1,760.666994,0.85305,1551.0,0.853
Aljibe,1141545.0,1760745.0,Ganadería,8.0,500.0,31.8,245.218244,0.275,500.0,0.275
Aljibe,1139033.0,1761919.0,Ganadería,7.29,1173.0,32.0,575.282001,0.64515,1173.0,0.6452
Pozo,1138017.0,1760451.0,Ganadería,7.57,1328.0,31.8,651.299657,0.7304,1328.0,0.7304
Pozo,1201602.0,1751694.0,Urbano,6.19,4890.0,32.1,2398.234429,2.6895,4890.0,2.6895
Pozo,1203521.0,1751026.0,Urbano,6.45,2948.0,31.8,1445.806768,1.6214,2948.0,1.6214
Pozo,1203180.0,1751189.0,Urbano,6.07,5530.0,32.3,2712.113781,3.0415,5530.0,3.0415
Pozo,1200743.0,1751595.0,Urbano,6.4,4230.0,32.2,2074.546346,2.3265,4230.0,2.3265
Pozo,1199397.0,1750697.0,Urbano,6.33,1867.0,30.8,915.644924,1.02685,1867.0,1.0269
Pozo,1187221.0,1738820.0,Forestal,6.71,1902.0,0.0,932.810201,1.0461,1902.0,1.0461
Pozo,1197223.0,1787141.0,Urbano,7.48,4490.0,33.3,2202.059833,2.4695,4490.0,2.4695
Pozo,1198045.0,1786626.0,Urbano,7.43,3830.0,33.2,1878.0,2.106,3830.0,2.106
Pozo,1197647.0,1788229.0,Urbano,6.7,4650.0,33.1,2280.0,2.557,4650.0,2.557
Pozo,1197209.0,1788188.0,Urbano,6.74,4580.0,33.0,2246.0,2.519,4580.0,2.519
Pozo,1198126.0,1788940.0,Urbano,6.9,7210.0,34.1,3536.047082,3.9655,7210.0,3.9655
Pozo,1198576.0,1787828.0,Urbano,7.39,7140.0,34.2,3501.716528,3.927,7140.0,3.927
Pozo,1197457.0,1788127.0,Urbano,6.74,5230.0,33.4,2564.982835,2.8765,5230.0,2.8765
Pozo,1197457.0,1788127.0,Urbano,7.35,5980.0,30.0,2932.810201,3.289,5980.0,3.289
