Tipo_de_Ca,X,Y,Uso_del_Su,pH_seco,Cond_Seco,T_Seco,STD_seco,Sal_seco,CE,SAL
Pozo,1195250.457,1782753.583,Forestal,7.38,2716.0,32.8,1331.0,1.455,2716.0,1.455
Pozo,1195443.484,1785774.576,Forestal,7.31,2569.0,33.7,1259.0,1.376,2569.0,1.376
Pozo,1194673.362,1786328.571,Forestal,7.84,2752.0,32.8,1349.0,1.476,2752.0,1.476
Pozo,1198389.767,1790727.529,Forestal,7.14,7044.0,33.9,3452.0,3.923,7044.0,3.923
Pozo,1198531.901,1781868.038,Forestal,7.06,1605.0,33.7,786.7,0.858,1605.0,0.858
Pozo,1189905.476,1774364.716,Forestal,7.13,5069.0,32.2,2484.0,2.776,5069.0,2.776
Pozo,1220637.937,1834870.563,Forestal,6.49,35440.0,33.0,17370.0,22.51,35440.0,22.51
Pozo,1208187.544,1806488.525,Forestal,6.56,9858.0,32.4,4831.0,5.608,9858.0,5.608
Pozo,1185868.648,1791432.266,Forestal,8.02,5305.0,32.8,2600.0,2.911,5305.0,2.911
Pozo,1163822.829,1773548.124,Forestal,8.09,1006.0,34.3,493.2,0.547,1006.0,0.547
Pozo,1170385.85,1766067.351,Forestal,8.08,1493.0,0.0,732.1,0.799,1493.0,0.799
Pozo,1180512.578,1788983.678,Forestal,7.63,3555.0,33.3,1742.0,1.916,3555.0,1.916
Pozo,1185818.222,1797366.137,Forestal,7.3,18080.0,32.6,8858.0,10.77,18080.0,10.77
Pozo,1206727.223,1782408.992,Forestal,7.07,4386.0,32.8,2150.0,2.385,4386.0,2.385
Pozo,1218338.249,1821337.424,Forestal,6.65,15880.0,33.1,7781.0,9.361,15880.0,9.361
Pozo,1159392.905,1784314.751,Forestal,7.86,2731.0,32.4,1339.0,1.464,2731.0,1.464
Pozo,1158597.0,1781971.0,Forestal,7.63,4467.0,32.7,2191.0,2.457,4467.0,2.457
Pozo,1155568.0,1780781.0,Forestal-Ganaderia,7.93,2319.0,37.6,1137.0,1.275,2319.0,1.275
Pozo,1154485.0,1785415.0,Forestal-Ganaderia,7.68,6104.0,32.1,2993.0,3.357,6104.0,3.357
Pozo,1153786.0,1785339.0,Forestal-Ganaderia,7.67,4639.0,32.1,2275.0,2.551,4639.0,2.551
Pozo,1154081.0,1784000.0,Forestal-Ganaderia,7.92,2355.0,32.1,1155.0,1.295,2355.0,1.295
Pozo,1154814.0,1784518.0,Forestal-Ganaderia,7.91,2134.0,32.7,1046.0,1.184,2134.0,1.184
Pozo,1154076.0,1781930.0,Forestal-Ganaderia,8.01,1912.0,33.3,937.7,1.061,1912.0,1.061
Pozo,1152614.0,1781941.0,Forestal-Ganaderia,8.04,1859.0,32.0,911.7,1.032,1859.0,1.032
Aljibe,1152347.0,1780473.0,Forestal-Ganaderia,7.38,3115.0,32.3,1528.0,1.729,3115.0,1.729
Pozo,1151709.0,1779724.0,Forestal-Ganaderia,8.23,1882.0,32.9,923.0,1.044,1882.0,1.044
Pozo,1150851.0,1779269.0,Ganadería,8.08,1927.0,33.6,945.1,1.069,1927.0,1.069
Pozo,1150444.0,1779271.0,Ganadería,8.18,1656.0,29.9,812.1,0.919,1656.0,0.919
Pozo,1159120.0,1785364.0,Forestal-Ganaderia,7.56,2365.0,32.9,1160.0,1.312,2365.0,1.312
Pozo,1160068.0,1786007.0,Forestal-Ganaderia,7.95,2246.0,31.6,1102.0,1.247,2246.0,1.247
Pozo,1159731.0,1782309.0,Forestal-Ganaderia,8.06,1409.0,31.9,691.0,0.782,1409.0,0.782
Pozo,1159702.0,1781038.0,Forestal-Ganaderia,7.82,1811.0,32.7,888.1,1.005,1811.0,1.005
Pozo,1158343.0,1779401.0,Forestal-Ganaderia,7.86,1641.0,32.3,804.8,0.937,1641.0,0.937
Aljibe,1160103.0,1779247.0,Forestal-Ganaderia,7.98,1689.0,32.1,828.3,0.937,1689.0,0.937
Aljibe,1160702.0,1778674.0,Ganadería,7.82,2759.0,32.6,1353.0,1.531,2759.0,1.531
Pozo,1160769.0,1778929.0,Ganadería,7.97,3827.0,33.7,1877.0,2.124,3827.0,2.124
Aljibe,1162017.0,1779724.0,Forestal-Ganaderia,7.3,2763.0,30.9,1355.0,1.533,2763.0,1.533
Aljibe,1158610.0,1778611.0,Forestal-Ganaderia,7.41,3172.0,32.4,1556.0,1.76,3172.0,1.76
Pozo,1158979.0,1778718.0,Forestal-Ganaderia,7.58,15280.0,32.3,7494.0,8.48,15280.0,8.48
Aljibe,1159975.0,1777037.0,Forestal-Ganaderia,7.94,1590.0,31.8,779.8,0.882,1590.0,0.882
Aljibe,1161554.0,1777075.0,Forestal-Ganaderia,7.4,3628.0,31.5,1779.0,2.013,3628.0,2.013
Pozo,1159436.0,1776058.0,Forestal-Ganaderia,7.6,6967.0,32.3,3417.0,3.867,6967.0,3.867
Aljibe,1160278.0,1775315.0,Forestal,8.01,3132.0,31.7,1536.0,1.738,3132.0,1.738
Aljibe,1160151.0,1774910.0,Forestal,7.62,1764.0,32.4,865.1,0.979,1764.0,0.979
Pozo,1158374.0,1772516.0,Forestal,7.36,2263.0,32.7,1110.0,1.256,2263.0,1.256
Pozo,1155734.0,1772307.0,Forestal,7.31,4827.0,32.2,2367.0,2.679,4827.0,2.679
Aljibe,1155780.0,1774060.0,Forestal-Ganaderia,7.1,6725.0,32.5,3298.0,3.732,6725.0,3.732
Pozo,1155096.0,1775286.0,Forestal-Ganaderia,7.83,3069.0,32.1,1505.0,1.703,3069.0,1.703
Aljibe,1155244.0,1775649.0,Forestal-Ganaderia,7.18,4707.0,32.5,2308.0,2.612,4707.0,2.612
Pozo,1156047.0,1775140.0,Forestal-Ganaderia,8.03,1240.0,32.8,608.1,0.688,1240.0,0.688
Pozo,1149971.0,1783480.0,,8.14,1561.0,32.6,765.6,0.866,1561.0,0.866
Pozo,1149572.0,1782410.0,Forestal-Ganaderia,8.16,1636.0,32.1,802.3,0.907,1636.0,0.907
Pozo,1152587.0,1777582.0,Forestal-Ganaderia,7.49,3352.0,33.8,1644.0,1.86,3352.0,1.86
Aljibe,1152588.0,1774897.0,Forestal-Ganaderia,7.54,14430.0,32.4,7077.0,8.008,14430.0,8.008
Pozo,1152401.0,1774394.0,Forestal-Ganaderia,8.74,9541.0,34.8,4679.0,5.295,9541.0,5.295
Pozo,1152441.0,1786883.0,Forestal-Ganaderia,7.97,2656.0,31.2,1302.0,1.474,2656.0,1.474
Pozo,1156236.0,1782477.0,Forestal-Ganaderia,7.64,3727.0,33.7,1828.0,2.068,3727.0,2.068
Pozo,1150148.0,1777544.0,Forestal-Ganaderia,8.02,2089.0,31.7,1024.0,1.159,2089.0,1.159
Pozo,1149198.0,1776924.0,Forestal-Ganaderia,8.05,2379.0,32.8,1167.0,1.32,2379.0,1.32
Pozo,1147402.0,1778722.0,Forestal-Ganaderia,8.28,1796.0,32.2,880.8,0.997,1796.0,0.997
Pozo,1147355.0,1779055.0,Forestal-Ganaderia,8.86,2124.0,31.5,1042.0,1.179,2124.0,1.179
Pozo,1148739.0,1780336.0,Forestal-Ganaderia,8.14,1494.0,32.9,732.7,0.829,1494.0,0.829
Pozo,1132204.0,1765297.0,Urbano,7.85,1763.0,32.0,864.6,0.978,1763.0,0.978
Pozo,1132551.0,1765053.0,Urbano,8.36,3212.0,31.9,1575.0,1.783,3212.0,1.783
Pozo,1148015.0,1781216.0,,8.27,1648.0,31.2,808.2,0.914,1648.0,0.914
Pozo,1146221.0,1779239.0,Forestal-Ganaderia,8.59,2144.0,31.9,1051.0,1.19,2144.0,1.19
Pozo,1144839.0,1778922.0,Forestal-Ganaderia,8.21,1862.0,33.2,913.2,1.033,1862.0,1.033
Pozo,1145529.0,1777485.0,Forestal-Ganaderia,7.14,2125.0,32.2,1042.0,1.179,2125.0,1.179
Pozo,1145582.0,1777645.0,Forestal-Ganaderia,6.59,6379.0,32.5,3128.0,3.54,6379.0,3.54
Aljibe,1145040.0,1777030.0,Forestal-Ganaderia,7.25,1349.0,32.1,661.6,0.749,1349.0,0.749
Pozo,1144968.0,1777473.0,,8.14,1996.0,32.4,979.0,1.108,1996.0,1.108
Aljibe,1144015.0,1777364.0,Forestal-Ganaderia,7.69,2214.0,32.1,1086.0,1.229,2214.0,1.229
Pozo,1151390.0,1781473.0,Forestal-Ganaderia,8.0,1799.0,32.2,882.3,0.998,1799.0,0.998
Pozo,1146395.0,1775314.0,Forestal-Ganaderia,8.04,1911.0,32.3,937.2,1.06,1911.0,1.06
Pozo,1147095.0,1774913.0,Forestal-Ganaderia,8.13,1631.0,31.8,800.0,0.905,1631.0,0.905
Pozo,1145401.0,1774731.0,Forestal-Ganaderia,8.2,4329.0,32.6,2123.0,2.403,4329.0,2.403
Pozo,1144046.0,1774641.0,Forestal-Ganaderia,7.53,17380.0,31.7,8524.0,9.645,17380.0,9.645
Pozo,1144550.0,1773780.0,Forestal-Ganaderia,7.69,8687.0,32.1,4260.0,4.821,8687.0,4.821
Pozo,1145173.0,1774251.0,Forestal-Ganaderia,7.6,3899.0,34.1,1912.0,2.164,3899.0,2.164
Pozo,1142556.0,1773116.0,Forestal-Ganaderia,7.84,2373.0,31.5,1164.0,1.317,2373.0,1.317
Aljibe,1142189.0,1774301.0,Forestal-Ganaderia,5.41,369.0,31.6,1810.0,0.205,369.0,0.205
Aljibe,1141653.0,1774553.0,Forestal-Ganaderia,7.61,1449.0,30.5,710.6,0.804,1449.0,0.804
Pozo,1141760.0,1774602.0,Forestal-Ganaderia,6.9,3091.0,30.7,1516.0,1.715,3091.0,1.715
Pozo,1143532.0,1772127.0,Forestal-Ganaderia,7.91,3031.0,33.4,1487.0,1.682,3031.0,1.682
Pozo,1141260.0,1770683.0,Forestal-Ganaderia,7.1,9095.0,31.4,4461.0,5.048,9095.0,5.048
Pozo,1140517.0,1770723.0,Forestal-Ganaderia,7.47,5305.0,31.8,2602.0,2.944,5305.0,2.944
Pozo,1140576.0,1771895.0,Forestal-Ganaderia,7.63,3220.0,31.5,1579.0,1.787,3220.0,1.787
Pozo,1142313.0,1768859.0,Forestal-Ganaderia,7.0,1980.0,33.9,971.1,1.01,1980.0,1.01
Pozo,1141533.0,1768715.0,Forestal-Ganaderia,7.61,4484.0,35.1,2199.0,2.488,4484.0,2.488
Pozo,1132065.0,1769113.0,Forestal-Ganaderia,8.02,1549.0,30.3,759.7,0.86,1549.0,0.86
Pozo,1133047.0,1769381.0,Forestal-Ganaderia,8.02,1531.0,32.2,750.9,0.85,1531.0,0.85
Pozo,1133149.0,1770661.0,Forestal-Ganaderia,8.1,1457.0,31.1,714.6,0.809,1457.0,0.809
Pozo,1135328.0,1770730.0,Forestal-Ganaderia,8.24,1580.0,30.7,774.9,0.877,1580.0,0.877
Pozo,1136501.0,1776881.0,Forestal-Ganaderia,8.15,1739.0,31.5,852.9,0.965,1739.0,0.965
Pozo,1139034.0,1777045.0,Forestal-Ganaderia,7.63,3865.0,32.3,1895.0,2.145,3865.0,2.145
Pozo,1139501.0,1776088.0,Forestal-Ganaderia,8.07,1881.0,31.8,922.5,1.044,1881.0,1.044
Pozo,1139328.0,1778840.0,Forestal-Ganaderia,8.0,2353.0,31.3,1154.0,1.306,2353.0,1.306
Pozo,1141084.0,1778485.0,Forestal-Ganaderia,8.2,2199.0,31.1,1078.0,1.22,2199.0,1.22
Pozo,1140973.0,1779756.0,Forestal-Ganaderia,8.11,2729.0,33.8,1338.0,1.514,2729.0,1.514
Pozo,1141499.0,1780329.0,Urbano,7.8,12430.0,31.5,6096.0,6.899,12430.0,6.899
Pozo,1141652.0,1780001.0,Urbano,8.13,2442.0,34.2,1198.0,1.355,2442.0,1.355
Pozo,1142174.0,1780022.0,Forestal-Ganaderia,8.14,1990.0,32.0,9760.0,1.104,1990.0,1.104
Pozo,1135718.0,1774950.0,Urbano,8.13,1643.0,31.0,805.8,0.912,1643.0,0.912
Aljibe,1158226.31,1776702.05,Forestal,7.32,3634.0,32.6,1781.0,1.983,3634.0,1.983
Pozo,1156501.34,1771446.44,Forestal,7.21,3256.0,32.6,1596.0,1.754,3256.0,1.754
Aljibe,1156522.63,1771431.18,Forestal,7.13,1803.0,33.1,883.9,0.964,1803.0,0.964
Pozo,1155731.71,1771408.76,Forestal,7.32,4521.0,33.0,2216.0,2.463,4521.0,2.463
Pozo,1154367.44,1771497.24,Forestal,7.27,5348.0,33.2,2621.0,2.935,5348.0,2.935
Aljibe,1159825.63,1771537.13,Forestal,7.39,4914.0,32.6,2408.0,2.685,4914.0,2.685
Pozo,1160479.01,1771783.32,Forestal,7.61,3158.0,31.7,1548.0,1.699,3158.0,1.699
Aljibe,1160481.38,1771912.43,Forestal,7.27,2059.0,32.6,1009.0,1.1,2059.0,1.1
Pozo,1158170.43,1771614.72,Forestal,7.41,2611.0,32.2,1280.0,1.0399,2611.0,1.0399
Aljibe,1158211.24,1770741.99,Forestal,7.47,2565.0,32.6,1257.0,1.373,2565.0,1.373
Pozo,1160618.34,1773557.61,Forestal,7.87,1580.0,35.4,774.9,0.845,1580.0,0.845
Pozo,1129915.7,1764476.37,Forestal,8.23,1655.0,32.7,811.3,0.885,1655.0,0.885
Aljibe,1172770.36,1748438.38,Forestal,6.71,1688.0,30.7,827.6,0.903,1688.0,0.903
Pozo,1174077.81,1753369.94,Forestal,7.69,1131.0,30.7,554.7,0.612,1131.0,0.612
Aljibe,1174638.68,1753950.93,Forestal,7.56,993.4,31.6,487.2,0.541,993.4,0.541
Aljibe,1176218.86,1755552.02,Forestal,7.63,1105.0,31.8,542.1,0.598,1105.0,0.598
Aljibe,1177048.05,1756398.94,Forestal,7.67,1114.0,31.7,546.6,0.603,1114.0,0.603
Aljibe,1178620.2,1755633.18,Forestal,7.1,2875.0,31.2,1409.0,1.543,2875.0,1.543
Aljibe,1178411.95,1754921.91,Forestal,7.06,2792.0,31.9,1368.0,1.497,2792.0,1.497
Pozo,1178980.42,1759477.71,Forestal,7.3,3228.0,33.1,1594.0,1.751,3228.0,1.751
Pozo,1178843.76,1758450.22,Forestal,7.51,1549.0,32.6,759.4,0.829,1549.0,0.829
Aljibe,1180172.08,1758420.92,Forestal,7.26,2004.0,31.9,982.5,1.071,2004.0,1.071
Pozo,1182211.13,1756102.56,Forestal,7.05,5113.0,31.8,2506.0,2.8,5113.0,2.8
Aljibe,1180213.36,1760738.96,Forestal,7.24,1565.0,32.2,767.1,0.838,1565.0,0.838
Aljibe,1191989.33,1764384.11,Forestal,7.51,1842.0,32.7,903.0,0.984,1842.0,0.984
Aljibe,1190401.78,1774602.19,Forestal,7.25,982.8,32.5,482.1,0.535,982.8,0.535
Pozo,1181962.69,1776349.85,Forestal,7.96,3937.0,0.0,1929.0,2.131,3937.0,2.131
Pozo,1177993.77,1776674.15,Forestal,7.73,2228.0,32.0,1092.0,1.191,2228.0,1.191
Aljibe,1177340.62,1777478.87,Forestal,7.32,2554.0,32.9,1252.0,1.367,2554.0,1.367
Aljibe,1176924.74,1774949.66,Forestal,7.54,1956.0,32.7,958.8,1.045,1956.0,1.045
Pozo,1177656.16,1774243.75,Forestal,7.49,2195.0,33.6,1076.0,1.174,2195.0,1.174
Pozo,1178113.67,1771095.52,Forestal,8.14,676.3,32.8,331.9,0.38,676.3,0.38
Pozo,1180899.83,1769433.18,Forestal,7.86,2088.0,32.9,1023.0,1.115,2088.0,1.115
Pozo,1179156.36,1765823.44,Forestal,8.3,2002.0,32.1,981.5,1.07,2002.0,1.07
Pozo,1177783.58,1764131.05,Forestal,7.26,1864.0,32.9,913.9,0.996,1864.0,0.996
Aljibe,1179416.04,1764420.11,Forestal,7.18,944.5,32.3,463.3,0.516,944.5,0.516
Aljibe,1178499.33,1775189.24,Forestal,7.36,1776.0,32.9,870.9,0.949,1776.0,0.949
Aljibe,1178033.04,1745190.7,Forestal,7.1,609.2,30.7,299.0,0.346,609.2,0.346
Aljibe,1171860.41,1761777.15,Forestal,7.15,2109.0,31.9,1034.0,1.126,2109.0,1.126
Aljibe,1172629.39,1760880.72,Forestal,7.19,1630.0,32.0,799.2,0.872,1630.0,0.872
Aljibe,1220570.98,1805349.26,Forestal,7.11,6066.0,31.9,2973.0,3.351,6066.0,3.351
Aljibe,1218066.96,1806127.47,Forestal,6.91,4297.0,31.6,2106.0,2.335,4297.0,2.335
Aljibe,1217422.29,1803546.25,Forestal,7.43,974.8,31.7,478.1,0.531,974.8,0.531
Aljibe,1213615.99,1803473.08,Forestal,6.87,2774.0,33.1,1360.0,1.486,2774.0,1.486
Aljibe,1163356.48,1773851.62,Forestal,7.12,2420.0,33.4,1186.0,1.294,2420.0,1.294
Aljibe,1161984.05,1774348.52,Forestal,6.9,5664.0,32.1,2776.0,3.118,5664.0,3.118
Pozo,1162011.89,1774241.08,Forestal,7.33,1972.0,31.8,966.6,1.053,1972.0,1.053
Aljibe,1159991.7,1770480.61,Forestal,7.17,3203.0,32.4,1570.0,1.723,3203.0,1.723
Aljibe,1160025.42,1770997.17,Forestal,7.27,2854.0,32.6,1399.0,1.531,2854.0,1.531
Pozo,1105417.48,1742328.07,Ganadería,7.61,2006.0,30.8,983.3,1.072,2006.0,1.072
Pozo,1104110.26,1742326.84,Urbano,7.67,1770.0,29.1,867.6,0.946,1770.0,0.946
Pozo,1104057.84,1742587.88,Urbano,7.29,2038.0,29.7,999.1,1.089,2038.0,1.089
Pozo,1108068.24,1749472.84,Ganadería,8.18,1480.0,32.2,750.3,0.819,1480.0,0.819
Pozo,1111012.56,1755531.1,Ganadería,8.53,8360.0,33.6,410.1,0.461,8360.0,0.461
Pozo,1114021.56,1757640.88,Ganadería,7.83,1842.0,31.9,902.9,0.984,1842.0,0.984
Pozo,1115451.25,1760445.83,Ganadería,7.98,2190.0,31.8,1074.0,1.171,2190.0,1.171
Pozo,1115728.37,1763381.81,Forestal,8.22,885.0,32.7,434.1,0.486,885.0,0.486
Pozo,1119779.72,1761331.82,Forestal,8.27,929.5,31.8,455.9,0.507,929.5,0.507
Pozo,1118931.82,1761900.22,Forestal,7.89,2042.0,31.0,1001.0,1.09,2042.0,1.09
Aljibe,1159475.73,1769439.03,Forestal,7.39,2457.0,31.6,1204.0,1.315,2457.0,1.315
Aljibe,1159297.31,1769358.2,Forestal,7.39,2639.0,32.2,1294.0,1.414,2639.0,1.414
Pozo,1158252.5,1767991.21,Forestal,7.56,2180.0,32.5,1069.0,1.165,2180.0,1.165
Pozo,1158716.76,1769677.98,Forestal,8.08,3706.0,31.7,1816.0,2.004,3706.0,2.004
Aljibe,1158527.6,1769922.91,Forestal,7.2,2724.0,32.6,1335.0,1.46,2724.0,1.46
Aljibe,1157592.84,1768968.39,Forestal,7.22,2106.0,32.4,1032.0,1.125,2106.0,1.125
Aljibe,1155862.35,1768925.87,Forestal,7.47,2316.0,32.4,1136.0,1.239,2316.0,1.239
Pozo,1152189.37,1768812.42,Forestal,7.62,4284.0,31.6,2099.0,2.329,4284.0,2.329
Pozo,1150748.7,1769638.36,Forestal,8.0,1864.0,33.1,913.6,0.996,1864.0,0.996
Aljibe,1152979.91,1766452.64,Forestal,7.12,5490.0,31.9,2690.0,3.017,5490.0,3.017
Pozo,1155556.67,1766406.98,Forestal,7.44,5399.0,32.5,2646.0,2.964,5399.0,2.964
Pozo,1157912.98,1765604.28,Forestal,7.35,2268.0,33.4,1112.0,1.211,2268.0,1.211
Pozo,1159057.24,1764724.86,Forestal,7.9,1304.0,32.9,640.7,0.702,1304.0,0.702
Aljibe,1159999.42,1764843.39,Forestal,7.4,1280.0,33.3,627.5,0.688,1280.0,0.688
Pozo,1148889.49,1766103.98,Forestal,7.67,3619.0,31.4,1774.0,1.955,3619.0,1.955
Aljibe,1150907.86,1766187.44,Forestal,7.15,3945.0,30.9,1933.0,2.136,3945.0,2.136
Aljibe,1150766.73,1765283.11,Forestal,6.87,5285.0,32.1,2590.0,2.899,5285.0,2.899
Aljibe,1151994.73,1768325.83,Forestal,7.16,4102.0,31.0,2011.0,2.226,4102.0,2.226
Pozo,1150505.57,1763493.0,Forestal,6.85,5154.0,31.4,2526.0,2.826,5154.0,2.826
Aljibe,1151231.36,1763856.12,Forestal,7.16,2943.0,32.2,1443.0,1.581,2943.0,1.581
Aljibe,1151991.87,1764557.52,Forestal,7.01,4777.0,32.7,2341.0,2.609,4777.0,2.609
Pozo,1153685.38,1762300.52,Forestal,7.91,1992.0,0.0,976.7,1.064,1992.0,1.064
Pozo,1154673.49,1763565.59,Forestal,7.8,1418.0,32.4,695.5,0.761,1418.0,0.761
Pozo,1154674.29,1764629.08,Forestal,7.61,1911.0,32.4,936.9,1.021,1911.0,1.021
Aljibe,1151843.63,1762623.48,Forestal,7.13,5500.0,33.0,2695.0,3.026,5500.0,3.026
Aljibe,1154744.19,1761528.09,Forestal,7.55,2095.0,32.4,2095.0,1.027,2095.0,1.027
Pozo,1155509.55,1761252.18,Forestal,7.58,1375.0,31.8,674.2,0.738,1375.0,0.738
Aljibe,1155556.5,1762177.59,Forestal,7.54,1347.0,32.5,7.54,1.347,1347.0,1.347
Pozo,1155142.95,1762427.58,Forestal,7.44,1574.0,0.0,771.7,0.841,1574.0,0.841
Pozo,1148600.28,1762540.29,Forestal,7.85,1993.0,29.9,977.2,1.065,1993.0,1.065
Pozo,1149022.32,1763040.23,Forestal,7.34,1317.0,34.4,646.0,0.708,1317.0,0.708
Pozo,1147803.8,1762370.55,Forestal,7.7,749.5,31.0,367.8,0.417,749.5,0.417
Pozo,1147568.14,1762200.39,Forestal,7.55,1218.0,29.6,597.3,0.656,1218.0,0.656
Aljibe,1133955.93,1765956.39,Forestal,7.18,713.8,30.1,350.2,0.399,713.8,0.399
Pozo,1133456.18,1765868.19,Forestal,7.94,521.7,32.6,256.1,0.304,521.7,0.304
Pozo,1134578.95,1766272.56,Forestal,7.84,1487.0,32.2,729.3,0.797,1487.0,0.797
Pozo,1135957.03,1765814.44,Forestal,7.77,776.3,30.8,380.9,0.43,776.3,0.43
Pozo,1137369.96,1766398.44,Forestal,7.91,2249.0,32.5,1103.0,1.203,2249.0,1.203
Pozo,1136521.29,1768472.39,Forestal,7.91,1866.0,32.9,915.0,0.997,1866.0,0.997
Pozo,1135582.12,1767687.62,Forestal,7.29,10210.0,31.6,5002.0,5.821,10210.0,5.821
Pozo,1134902.16,1767229.8,Forestal,7.63,3310.0,31.2,1622.0,1.784,3310.0,1.784
Pozo,1137861.1,1765687.56,Forestal,7.78,957.3,32.0,469.6,0.522,957.3,0.522
Aljibe,1137699.33,1765941.95,Forestal,7.42,5299.0,32.8,2597.0,2.907,5299.0,2.907
Pozo,1138549.74,1765555.38,Forestal,7.69,1547.0,31.6,758.4,0.828,1547.0,0.828
Aljibe,1139061.86,1765588.39,Forestal,7.1,2227.0,32.6,1092.0,1.19,2227.0,1.19
Pozo,1139039.54,1765834.17,Forestal,7.58,873.5,32.5,428.5,0.48,873.5,0.48
Pozo,1139388.75,1765015.1,Forestal,8.38,481.6,31.9,236.6,0.284,481.6,0.284
Pozo,1139996.4,1764698.18,Forestal,7.27,736.6,31.5,361.4,0.41,736.6,0.41
Pozo,1140007.44,1764264.86,Forestal,7.83,439.2,31.2,215.7,0.263,439.2,0.263
Pozo,1140221.61,1765172.51,Forestal,7.7,637.2,32.4,312.7,0.361,637.2,0.361
Pozo,1147212.87,1764254.95,Forestal,7.47,876.0,30.4,429.8,0.481,876.0,0.481
Pozo,1147189.13,1764147.26,Forestal,7.63,1542.0,30.3,756.1,0.826,1542.0,0.826
Aljibe,1147046.62,1765443.64,Forestal,7.8,1184.0,31.4,580.5,0.639,1184.0,0.639
Aljibe,1146877.29,1765999.16,Forestal,7.61,1382.0,32.3,677.7,0.742,1382.0,0.742
Aljibe,1148676.05,1767003.53,Forestal,6.97,4176.0,31.3,2047.0,2.267,4176.0,2.267
Pozo,1147566.13,1768399.82,Forestal,7.39,4799.0,31.9,2352.0,2.621,4799.0,2.621
Aljibe,1146791.8,1767418.76,Forestal,7.29,4868.0,31.9,2386.0,2.66,4868.0,2.66
Aljibe,1146348.27,1765692.39,Forestal,7.9,1207.0,31.4,592.0,0.651,1207.0,0.651
Aljibe,1146572.97,1764316.48,Forestal,6.99,917.1,32.4,449.9,0.502,917.1,0.502
Aljibe,1146743.06,1764892.04,Forestal,7.24,1218.0,32.7,597.3,0.656,1218.0,0.656
Pozo,1145049.31,1764081.93,Forestal,7.4,738.3,33.6,362.3,0.411,738.3,0.411
Pozo,1145301.22,1764015.48,Forestal,7.99,1808.0,32.6,886.3,0.968,1808.0,0.968
Pozo,1144553.37,1764479.2,Forestal,7.72,490.1,32.5,240.7,0.288,490.1,0.288
Pozo,1144190.23,1763687.61,Forestal,7.91,1271.0,32.2,623.2,0.684,1271.0,0.684
Pozo,1151004.83,1764312.99,Forestal,7.61,407.6,33.2,200.2,0.248,407.6,0.248
Pozo,1131577.77,1765675.81,Urbano,7.9,1885.0,32.8,924.0,1.007,1885.0,1.007
Pozo,1161691.272,1759544.154,Forestal,7.53,1516.0,33.0,743.2,0.812,1516.0,0.812
Pozo,1160482.941,1762067.649,Forestal,7.53,1269.0,32.7,622.5,0.684,1269.0,0.684
Pozo,1160773.525,1762317.687,Forestal,7.52,1287.0,31.4,631.2,0.693,1287.0,0.693
Aljibe,1162212.571,1760017.6,Forestal,7.05,1178.0,31.3,578.0,0.636,1178.0,0.636
Pozo,1162432.956,1760077.897,Forestal,7.79,1149.0,32.1,563.6,0.621,1149.0,0.621
Pozo,1161282.263,1759177.884,Forestal,7.68,1504.0,33.3,737.6,0.805,1504.0,0.805
Pozo,1162238.448,1757337.756,Forestal,7.8,1346.0,32.0,659.9,0.723,1346.0,0.723
Pozo,1162034.575,1759247.715,Forestal,7.45,1311.0,32.0,642.9,0.705,1311.0,0.705
Pozo,1162191.671,1759239.349,Forestal,6.54,1222.0,31.6,599.3,0.659,1222.0,0.659
Pozo,1163597.643,1758865.959,Forestal,7.76,1008.0,0.0,494.4,0.548,1008.0,0.548
Pozo,1164472.491,1758502.037,Forestal,8.72,954.4,31.1,468.2,0.521,954.4,0.521
Pozo,1165072.867,1758470.278,Forestal,7.64,1922.0,0.0,942.4,1.026,1922.0,1.026
Pozo,1164496.404,1756008.135,Forestal,7.83,1221.0,32.4,599.0,0.658,1221.0,0.658
Pozo,1167049.883,1757715.775,Forestal,7.05,1401.0,33.1,687.1,0.752,1401.0,0.752
Pozo,1167679.028,1757515.296,Forestal,6.96,2812.0,32.3,1379.0,1.509,2812.0,1.509
Pozo,1166610.294,1758730.286,Forestal,7.59,2391.0,33.6,1172.0,1.279,2391.0,1.279
Pozo,1164099.717,1757227.088,Forestal,7.24,1645.0,30.9,806.5,0.88,1645.0,0.88
Pozo,1163219.308,1757356.948,Forestal,6.86,1876.0,33.7,919.6,1.002,1876.0,1.002
Pozo,1163209.814,1758077.885,Forestal,7.91,1222.0,31.9,599.2,0.658,1222.0,0.658
Pozo,1163039.313,1755911.007,Forestal,6.44,959.3,31.8,470.5,0.523,959.3,0.523
Pozo,1163308.094,1755933.798,Forestal,7.87,1982.0,31.0,971.9,1.059,1982.0,1.059
Aljibe,1164158.0,1754309.525,Forestal,7.19,1533.0,31.3,751.8,0.821,1533.0,0.821
Aljibe,1161467.749,1754028.63,Forestal,7.19,1698.0,32.3,836.6,0.912,1698.0,0.912
Aljibe,1162702.303,1753016.378,Forestal,7.15,1911.0,32.4,936.9,1.021,1911.0,1.021
Pozo,1163066.418,1753297.162,Forestal,8.09,811.2,32.5,398.0,0.448,811.2,0.448
Pozo,1164298.023,1752763.887,Forestal,7.46,796.3,32.6,390.7,0.441,796.3,0.441
Aljibe,1165120.837,1752884.413,Forestal,7.44,1319.0,32.3,646.8,0.709,1319.0,0.709
